                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7573,                 3.5503,                 2.6351,                0.65366,                0.50622,                0.59694,                0.43584,                 1.1082,                 1.1511,                 1.1406,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.6113,                 3.4202,                 2.4253,                0.68955,                0.51009,                0.60078,                0.43329,                 1.1305,                 1.1709,                 1.1573,             1.7143e-05,             1.7143e-05,             1.7143e-05
                      3,                 2.5777,                 3.4282,                 2.4908,                0.63976,                0.52478,                0.59724,                0.42881,                 1.1582,                 1.2019,                 1.1727,             2.5202e-05,             2.5202e-05,             2.5202e-05
                      4,                 2.4478,                 3.2112,                 2.2934,                0.68401,                0.48902,                0.58836,                0.41157,                  1.221,                 1.2512,                 1.1967,             3.2507e-05,             3.2507e-05,             3.2507e-05
                      5,                 2.4004,                 3.0716,                 2.3147,                0.68998,                0.47445,                0.56979,                0.38269,                 1.3392,                 1.3166,                 1.2436,             3.9059e-05,             3.9059e-05,             3.9059e-05
                      6,                 2.1911,                 2.8479,                 2.1071,                0.62125,                0.52494,                0.57303,                0.34862,                  1.543,                 1.4003,                  1.317,             4.4856e-05,             4.4856e-05,             4.4856e-05
                      7,                 2.1688,                 2.8189,                  2.048,                0.61089,                0.51833,                0.55873,                0.30726,                 1.7271,                 1.4965,                 1.3848,             4.9899e-05,             4.9899e-05,             4.9899e-05
                      8,                 2.0424,                 2.6015,                 1.9717,                0.60647,                0.49676,                0.55006,                 0.2666,                 1.9125,                 1.5992,                 1.4628,             5.4188e-05,             5.4188e-05,             5.4188e-05
                      9,                 2.0025,                  2.607,                 2.0119,                0.60574,                0.48804,                0.54173,                0.23016,                 2.0641,                 1.6892,                 1.5422,             5.7724e-05,             5.7724e-05,             5.7724e-05
                     10,                 2.0242,                 2.6164,                 1.9951,                0.60397,                0.47913,                0.53622,                0.21399,                   2.16,                 1.7358,                 1.5984,             6.0505e-05,             6.0505e-05,             6.0505e-05
                     11,                 2.0184,                 2.6161,                 1.9615,                0.55228,                0.47789,                 0.5244,                0.19143,                 2.2468,                 1.7677,                 1.6514,             6.2532e-05,             6.2532e-05,             6.2532e-05
                     12,                 1.9638,                 2.6083,                  1.957,                0.55952,                0.48173,                0.51858,                 0.1891,                 2.2881,                 1.7539,                 1.6811,             6.3805e-05,             6.3805e-05,             6.3805e-05
                     13,                 1.9328,                 2.3839,                 1.9181,                0.57338,                0.48982,                0.52167,                0.18691,                 2.3081,                 1.7295,                 1.6951,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     14,                 2.0203,                 2.6045,                 1.9595,                0.56489,                0.47345,                0.50901,                 0.1829,                 2.3317,                 1.7185,                 1.7122,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     15,                  1.931,                 2.4856,                  1.901,                0.56763,                0.46849,                0.50933,                0.18556,                 2.3416,                 1.7094,                 1.7255,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     16,                 1.9105,                 2.3915,                 1.9025,                 0.5445,                0.47202,                0.51176,                0.18558,                 2.3476,                  1.697,                 1.7316,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     17,                 1.8867,                 2.3848,                 1.8483,                0.55655,                0.46595,                  0.507,                0.18635,                 2.3501,                 1.6868,                 1.7408,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     18,                 1.9194,                 2.4028,                 1.8662,                0.58227,                0.48631,                0.51867,                0.18545,                 2.3423,                 1.6786,                 1.7435,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     19,                 1.8622,                 2.4211,                 1.8248,                0.58397,                0.48398,                0.52344,                0.19079,                 2.3386,                 1.6695,                 1.7468,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     20,                 1.8394,                 2.3245,                 1.8617,                0.60635,                0.48311,                0.52694,                0.19158,                 2.3287,                 1.6655,                 1.7418,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     21,                 1.8357,                 2.1735,                 1.7787,                0.56436,                0.50556,                0.52465,                0.19036,                 2.3224,                  1.668,                 1.7396,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     22,                 1.8019,                 2.1934,                 1.8025,                0.57132,                0.52318,                0.53174,                0.19253,                 2.3132,                 1.6616,                 1.7366,              2.004e-05,              2.004e-05,              2.004e-05
                     23,                 1.8033,                 2.1783,                 1.8225,                0.57041,                0.52823,                 0.5313,                0.19404,                 2.3065,                 1.6598,                 1.7339,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     24,                 1.8281,                 2.1691,                 1.8061,                0.56497,                0.51656,                 0.5169,                 0.1949,                 2.3123,                 1.6604,                 1.7413,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     25,                 1.7755,                 2.0907,                 1.7972,                0.57569,                0.51024,                0.51297,                0.19303,                 2.3103,                 1.6616,                 1.7393,             5.9024e-06,             5.9024e-06,             5.9024e-06
