                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8063,                 4.8955,                 2.9179,                0.79207,                0.48838,                0.51653,                0.35308,                 1.3015,                 2.2762,                 1.1757,               5.95e-06,               5.95e-06,               5.95e-06
                      2,                 2.6061,                 4.4174,                 2.6705,                0.72706,                0.51282,                0.52213,                0.36166,                  1.305,                 2.1955,                 1.1747,             1.2572e-05,             1.2572e-05,             1.2572e-05
                      3,                 2.6311,                 4.4017,                 2.8216,                0.72164,                    0.5,                0.53156,                0.36857,                  1.294,                 2.0943,                 1.1584,             1.8628e-05,             1.8628e-05,             1.8628e-05
                      4,                  2.549,                 3.7685,                 2.7231,                0.87211,                0.44872,                0.52695,                0.36538,                 1.2918,                 2.0714,                 1.1521,             2.4118e-05,             2.4118e-05,             2.4118e-05
                      5,                 2.5066,                 3.6405,                 2.6208,                0.79277,                0.44872,                0.52382,                0.36269,                 1.2941,                 2.0125,                 1.1488,             2.9044e-05,             2.9044e-05,             2.9044e-05
                      6,                 2.4736,                  2.963,                 2.5612,                0.83773,                 0.4359,                 0.5259,                0.36424,                 1.2965,                 1.9484,                 1.1498,             3.3403e-05,             3.3403e-05,             3.3403e-05
                      7,                  2.344,                 2.6442,                 2.4202,                0.82652,                0.44872,                0.54128,                0.35029,                 1.3283,                 1.8687,                 1.1737,             3.7197e-05,             3.7197e-05,             3.7197e-05
                      8,                 2.2151,                 2.3228,                 2.2505,                0.76757,                0.42338,                0.54573,                0.29779,                 1.4333,                 1.8557,                  1.231,             4.0426e-05,             4.0426e-05,             4.0426e-05
                      9,                 2.1765,                 2.3884,                 2.2572,                 0.8457,                0.42308,                0.58624,                0.25106,                 1.5722,                 1.8157,                 1.3078,             4.3089e-05,             4.3089e-05,             4.3089e-05
                     10,                  2.058,                 2.0733,                 2.1616,                0.82822,                0.41026,                0.60712,                0.24047,                 1.6159,                 1.7146,                 1.3449,             4.5187e-05,             4.5187e-05,             4.5187e-05
                     11,                 1.9542,                 1.8426,                 2.0853,                0.69563,                 0.4359,                0.59338,                0.25315,                 1.6174,                 1.5999,                 1.3706,             4.6719e-05,             4.6719e-05,             4.6719e-05
                     12,                 1.9522,                 1.7526,                 2.1206,                0.52584,                 0.5641,                0.59028,                0.27281,                 1.6204,                 1.5136,                 1.3797,             4.7686e-05,             4.7686e-05,             4.7686e-05
                     13,                 1.8572,                 1.6512,                 2.0147,                0.48383,                0.60089,                0.60457,                 0.2969,                 1.6189,                 1.4129,                 1.3733,             4.8087e-05,             4.8087e-05,             4.8087e-05
                     14,                 1.8084,                 1.6054,                 2.0199,                 0.5889,                0.55097,                0.63265,                0.31357,                 1.6355,                 1.3438,                  1.373,             4.7923e-05,             4.7923e-05,             4.7923e-05
                     15,                  1.793,                 1.6115,                  2.007,                 0.5506,                0.61538,                0.64214,                 0.3189,                 1.6488,                 1.3244,                 1.3772,             4.7193e-05,             4.7193e-05,             4.7193e-05
                     16,                 1.6794,                  1.744,                  1.964,                0.54854,                0.64103,                0.68478,                0.33022,                 1.7057,                 1.2927,                 1.3956,             4.5898e-05,             4.5898e-05,             4.5898e-05
                     17,                 1.6691,                 1.7208,                 1.9935,                0.56775,                0.65677,                0.70602,                0.33685,                 1.7315,                 1.2836,                 1.4045,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     18,                 1.5577,                 1.5734,                 1.8813,                0.62845,                0.71563,                0.74783,                0.34476,                 1.7823,                 1.2893,                 1.4224,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     19,                  1.637,                 1.6078,                 1.9263,                0.64629,                0.75641,                0.75935,                0.34648,                 1.8094,                 1.3123,                 1.4332,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     20,                  1.617,                 1.4984,                 1.8666,                0.70185,                0.75453,                0.77112,                0.34339,                 1.8577,                 1.3401,                 1.4482,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     21,                 1.5512,                  1.457,                  1.791,                0.74967,                0.76788,                0.78269,                0.34496,                 1.8894,                 1.3493,                 1.4684,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     22,                 1.5707,                 1.5593,                 1.8947,                0.75329,                0.76923,                0.78755,                0.34085,                 1.9233,                 1.3519,                  1.483,              2.004e-05,              2.004e-05,              2.004e-05
                     23,                   1.53,                 1.4002,                 1.7878,                0.75451,                0.76923,                0.78896,                0.33647,                 1.9363,                  1.345,                 1.4896,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     24,                 1.5723,                 1.4546,                  1.813,                0.74896,                0.78205,                 0.7837,                0.33248,                 1.9471,                 1.3274,                 1.4946,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     25,                  1.506,                 1.3581,                 1.8227,                 0.7528,                0.79487,                0.78234,                0.32969,                 1.9498,                 1.3245,                 1.4972,             5.9024e-06,             5.9024e-06,             5.9024e-06
